take_id	filename	bucket	est_seconds	transcript
046	046.txt	emotion-serious	31	Take a moment before you decide. This is a choice you will live with for a long time, and it deserves careful thought. Weigh what matters most to you, not what looks easiest today. Whatever you choose, choose it with clear eyes.
047	047.txt	emotion-gentle	28	It's late now, so let your shoulders drop and your breathing slow. The day is done, and nothing more is asked of you tonight. Close your eyes and let the quiet settle in. Everything else can wait until morning.
048	048.txt	emotion-gentle	28	There's no need to hurry through this part. Speak softly, move slowly, and let each word rest. The room is calm, and so are you. Just breathe, and take it one gentle step at a time.
049	049.txt	emotion-firm	30	Here's the plan, and we're going to stick to it. We start at eight, we finish the first phase by noon, and we do not skip the checks. If something breaks, we stop and fix it properly. No shortcuts, no exceptions.
050	050.txt	emotion-firm	30	I've made my decision, and it stands. We are not shipping until the tests are green and the review is done. This matters too much to rush. Hold the line, and trust the process we agreed on.
051	051.txt	emotion-firm	30	Let's be clear about the standard we're holding to. Every file gets checked, every number gets verified, and nothing goes out half-finished. If it isn't right, we don't send it. That's the rule, and it applies to me as much as anyone.
052	052.txt	longform-passage	56	When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow. The rainbow is a division of white light into many beautiful colours. These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon. There is, according to legend, a boiling pot of gold at one end. People look, but no one ever finds it. When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.
053	053.txt	longform-passage	60	Throughout the centuries people have explained the rainbow in various ways. Some have accepted it as a miracle without physical explanation. To the Hebrews it was a token that there would be no more universal floods. The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain. The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky. Others have tried to explain the phenomenon physically. Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain. Since then physicists have found that it is not reflection, but refraction by the raindrops, which causes the rainbows.
054	054.txt	longform-passage	58	The North Wind and the Sun were disputing which was the stronger, when a traveller came along wrapped in a warm cloak. They agreed that the one who first succeeded in making the traveller take his cloak off should be considered stronger than the other. Then the North Wind blew as hard as he could, but the more he blew the more closely did the traveller fold his cloak around him; and at last the North Wind gave up the attempt. Then the Sun shone out warmly, and immediately the traveller took off his cloak. And so the North Wind was obliged to confess that the Sun was the stronger of the two.
055	055.txt	longform-passage	60	A hare one day ridiculed the short feet and slow pace of the tortoise, who replied, laughing, that though he seemed as swift as the wind, he would beat him in a race. The hare, believing this to be impossible, agreed to the proposal; and they agreed that the fox should choose the course and fix the goal. On the day appointed for the race the two started together. The tortoise never for a moment stopped, but went on with a slow and steady pace straight to the end of the course. The hare, trusting to his native swiftness, lay down by the wayside and fell fast asleep. At last waking up, he ran as fast as he could, but found that the tortoise had already reached the goal. Slow but steady wins the race.
056	056.txt	longform-passage	48	The ants were spending a fine winter's day drying grain collected in the summer time. A grasshopper, perishing with famine, passed by and earnestly begged for a little food. The ants asked him why he had not treasured up food during the summer. He replied that he had not the leisure, for he had passed the days in singing. They then said in derision that if he was foolish enough to sing all the summer, he must dance supperless to bed in the winter. It is best to prepare for the days of necessity.
057	057.txt	longform-passage	60	A lion was once asleep in the forest when a little mouse ran across his face and woke him. The lion was angry and caught the mouse in his great paw, ready to eat him. Pardon me, cried the little mouse. Forgive me this time, and I shall never forget it. Who knows but I may be able to do you a good turn one of these days? The lion was so amused that he lifted his paw and let him go. Some time later the lion was caught in a hunter's net. The little mouse heard his roar, came, and gnawed through the ropes until the great beast was free.
058	058.txt	longform-passage	58	A crow, half dead with thirst, came upon a pitcher which had once been full of water. But when the crow put its beak into the mouth of the pitcher, it found that only a little water was left in it, and that it could not reach far enough down to get at it. It tried and tried, but at last had to give up in despair. Then a thought came to the crow. It took a pebble and dropped it into the pitcher. Then it took another pebble and dropped it in. Little by little the water rose, until at last the crow was able to drink. Necessity is the mother of invention, and little by little does the trick.
059	059.txt	longform-passage	57	One hot summer's day a fox was strolling through an orchard when he came to a bunch of grapes just ripening on a vine which had been trained over a high branch. Just the thing to quench my thirst, said he. Drawing back a few paces, he took a run and a jump, and just missed the bunch. Turning round again with a one, two, three, he jumped up, but with no greater success. Again and again he tried after the tempting morsel, but at last had to give it up, and walked away with his nose in the air, saying that he was sure the grapes were sour. It is easy to despise what you cannot get.
060	060.txt	longform-passage	46	A dog, crossing a bridge over a stream with a piece of meat in his mouth, saw his own reflection in the water. Thinking it was another dog with another piece of meat, he made up his mind to have that also. So he snapped at the shadow in the water, but as he opened his mouth the piece of meat fell out, dropped into the stream, and was never seen again. Beware lest you lose the substance by grasping at the shadow.
061	061.txt	longform-passage	47	A very tall oak was uprooted by the wind and thrown across a stream. It fell among some reeds, and it said to them, I wonder how you, who are so light and weak, are not entirely crushed by these strong winds. The reeds replied, You fight and contend with the wind, and so you are destroyed; while we, on the other hand, bend before the least breath of air, and therefore remain unbroken, and escape. Stoop to conquer, and bend so that you do not break.
062	062.txt	longform-passage	52	A shepherd boy watched a flock of sheep near a village, and thought it would be great fun to trick the villagers. So he shouted, Wolf! Wolf! and when the people came running he laughed at them. He did this more than once, and each time the villagers found no wolf at all. But one day a wolf really did come. The boy cried out in terror, Wolf! Wolf! but not a soul came to help him, and the wolf made a fine meal of the flock. A liar will not be believed, even when he speaks the truth.
063	063.txt	longform-passage	60	A milkmaid was going to market carrying her pail of milk balanced on her head. As she walked along she began daydreaming. The money from this milk will let me buy three hundred eggs. The eggs will hatch into chickens, and I shall sell the chickens and buy a fine new dress. When I go to the fair, all the young men will admire me, but I shall toss my head and refuse them every one. At that thought she tossed her head, and down came the pail, and all the milk spilled onto the ground. Do not count your chickens before they are hatched.
064	064.txt	longform-passage	55	A man and his wife had the good fortune to own a goose that laid a golden egg every single day. Lucky though they were, they soon began to think they were not getting rich fast enough. Imagining the bird must be made of gold inside, they decided to kill it and take the whole treasure at once. But when they cut it open, they found it was just like any other goose. So they had neither a store of gold nor any more golden eggs. Those who have plenty want too much, and lose the little they already hold.
065	065.txt	longform-passage	58	A country mouse invited his city cousin to visit, and served him a plain meal of beans and bacon and a crust of bread. The town mouse laughed at such humble fare and begged his cousin to come and see how well he lived. In the city they dined on the leftovers of a grand feast, but again and again they were forced to run and hide as people and dogs burst into the room. Goodbye, said the country mouse at last. I would rather eat my simple meal in peace than feast in fear. A crust eaten in safety is better than a banquet enjoyed in danger.
066	066.txt	longform-narrative	58	Most mornings I'm up a little before seven. I start the kettle, then spend a few minutes stretching while the water heats. I like a strong cup of tea and a slice of toast before I look at anything on my phone. On a good day I'm out the door by eight, with my bag packed the night before, so I never have to rush. The walk to campus takes about twenty minutes, and I use it to plan out what I want to finish.
067	067.txt	longform-narrative	58	There's a small park a few streets over that I visit whenever I need to think. A gravel path loops around a shallow pond, and in the summer the whole edge is lined with tall reeds. Ducks paddle around in the shade, and there's an old wooden bench under a willow tree that almost no one uses. I'll sit there for half an hour with a notebook, watching the water, and by the time I leave my head feels a great deal clearer.
068	068.txt	longform-narrative	55	The idea behind the project is pretty simple once you see it. You record yourself reading a set of short scripts, one file at a time, and the software studies the pattern of your voice. It learns not just the sound, but the rhythm and the little pauses that make you sound like you. The more careful and consistent the recordings are, the closer the result gets. After that, it can read almost any sentence back in a voice that feels familiar.
069	069.txt	longform-narrative	56	On the weekend I try to step away from screens for a while. I'll cook something that takes a bit of effort, usually a big pot of soup or a tray of roasted vegetables that lasts a few days. In the afternoon I might read, or fix something that's been on my list, or just take a long walk if the weather holds. It isn't exciting, but there's a quiet satisfaction in a slow, ordinary day that goes exactly to plan.
070	070.txt	longform-narrative	55	If you're coming to meet me, it's easier than it sounds. Get off at the main station and leave by the north exit, near the coffee stand. Turn right, walk two blocks past the library, and you'll see a tall brick building on the corner. Go through the glass doors and take the lift to the third floor. I'll be in the room at the end of the hall, so just knock and come in.
071	071.txt	longform-narrative	57	I've come to believe that small habits matter far more than big plans. Anyone can promise to change everything overnight, but almost no one keeps it up past the first week. What actually works is picking one tiny thing and doing it every single day until you barely notice the effort. Over a year those small choices stack up into something you'd never have managed in one go. Slow and steady really does get there in the end.
072	072.txt	longform-narrative	55	In the evenings I usually head to the library on the second floor, where it stays quiet well past dark. I claim a desk near the window, spread out my notes, and put my phone in my bag where I can't reach it. I work in stretches of about forty-five minutes, then get up, walk a lap, and refill my water before starting again. It's amazing how much I get through when there's nothing around to pull my attention away.
073	073.txt	longform-narrative	55	My friend Sam has this habit of calling right when I need it most, without ever knowing it. We can talk for an hour about nothing at all, and I always hang up feeling lighter than before. Last week he drove clear across town just to bring me soup when I was feeling low. I don't say it often enough, but that kind of steady, quiet kindness is worth more than any grand gesture.
074	074.txt	longform-narrative	52	I've been counting down the days until the trip for weeks now. Everything is finally booked, the bags are half packed, and I keep catching myself grinning for no reason. We're going to hike in the mornings, cook over a fire at night, and not check a single email the entire time. I honestly can't remember the last time I felt this ready for something. It's going to be unforgettable.
075	075.txt	hardcase-numbers	35	My order number is 4, 8, 2, 7, 6. The total came to forty-nine dollars and ninety-nine cents. You can reach me at 6, 4, 7, 5, 5, 5, 0, 1, 9, 8. We need about two and a half kilograms of flour and three quarters of a cup of sugar. The temperature dropped to minus fourteen degrees overnight, and the wind made it feel closer to minus twenty.
076	076.txt	hardcase-dates	35	The appointment is on Monday, March 3rd, at 9:45 in the morning. Our flight leaves on July 21st, 2026, at a quarter past noon. The library reopens on the 1st of September. Set the alarm for 6 a.m. sharp, and we'll be on the road by 6:30. We first met back in 1998, believe it or not. The deadline is Friday the 13th, so please don't be late.
077	077.txt	hardcase-acronyms	33	Please send the PDF to my email, then CC the whole team. The GPU in this laptop handles the AI model with ease. NASA and the ESA are planning a joint mission next year. My address is 12 Elm St., near the corner of 5th Ave. The recipe calls for 2 tbsp of oil and 1 tsp of salt. Text me your ETA when you're on the way, and I'll meet you outside.
078	078.txt	hardcase-spelling	35	My last name is spelled S, T, E, P, H, E, N, S. The reference code starts with a capital Z, then a lowercase q, then the number 7. Let me spell the street for you: M, A, C, K, E, N, Z, I, E. Some everyday words are tricky to say: February, library, Wednesday, and specifically. Colonel, yacht, and rhythm never look the way they sound.
079	079.txt	hardcase-pronunciation	35	The entrepreneur gave a thorough, meticulous presentation. She studied the phenomenon of bioluminescence across the Pacific. Espresso, not expresso, is the word she prefers. The archipelago stretched for nearly two hundred kilometres. Anemone, mischievous, and Worcestershire trip up almost everyone. Data, cache, and niche each have more than one accepted pronunciation.
